ball,pcb_net,bs_direction,bs_io_type,bs_extras,bs_tile,bs_ports,cone_units,ff_count,clocks
A1,GND,,,,,,0,0,
A2,A2,unknown,unknown,,MIB_R0C4,,0,0,
A3,A3,input,LVCMOS25,HYSTERESIS=ON,MIB_R0C6,MIB_R0C6_PIOT0_JPADDIA_PIO;MIB_R0C6_PIOT0_JTSDATA0B_SIOLOGIC;MIB_R0C6_PIOT0_PADDOA_PIO;MIB_R0C6_PIOT0_PADDTA_PIO,75,24,posedge G_HPBX0300
A4,A4,,,,,,0,0,
A5,A5,input,LVCMOS25,HYSTERESIS=ON,MIB_R0C18,MIB_R0C18_PIOT0_JPADDIA_PIO;MIB_R0C18_PIOT0_JPADDIB_PIO,0,0,
A6,A6,,,,,,0,0,
A7,clk,input,LVTTL33,HYSTERESIS=ON,MIB_R0C29,MIB_R0C29_PIOT0_JPADDIA_PIO;MIB_R0C29_PIOT0_JPADDIB_PIO;MIB_R0C29_PIOT0_JTXDATA0B_SIOLOGIC;MIB_R0C29_PIOT0_PADDTB_PIO,76,25,posedge G_HPBX0300
A8,A8,,,,,,0,0,
A9,A9,input,LVCMOS25,HYSTERESIS=ON,MIB_R0C42,MIB_R0C42_PIOT0_JPADDIA_PIO;MIB_R0C42_PIOT0_JPADDIB_PIO;MIB_R0C42_PIOT0_JTXDATA0B_SIOLOGIC;MIB_R0C42_PIOT0_PADDOA_PIO;MIB_R0C42_PIOT0_PADDTA_PIO;MIB_R0C42_PIOT0_PADDTB_PIO,82,29,posedge G_HPBX0300
A10,A10,,,,,,0,0,
A11,A11,input,LVCMOS25,HYSTERESIS=ON,MIB_R0C53,MIB_R0C53_PIOT0_JTSDATA0A_SIOLOGIC;MIB_R0C53_PIOT0_JTXDATA0A_SIOLOGIC;MIB_R0C53_PIOT0_PADDOB_PIO;MIB_R0C53_PIOT0_PADDTB_PIO,8,0,
A12,A12,,,,,,0,0,
A13,A13,input,LVCMOS25,HYSTERESIS=ON,MIB_R0C65,MIB_R0C65_PIOT0_JTSDATA0A_SIOLOGIC;MIB_R0C65_PIOT0_JTXDATA0A_SIOLOGIC;MIB_R0C65_PIOT0_JTXDATA0B_SIOLOGIC;MIB_R0C65_PIOT0_PADDTB_PIO,8,0,
A14,A14,,,,,,0,0,
A15,A15,,,,,,0,0,
A16,GND,,,,,,0,0,
B1,PMOD1+,,,,,,0,0,
B2,PMOD1-,,,,,,0,0,
B3,B3,,,,,,0,0,
B4,B4,,,,,,0,0,
B5,B5,,,,,,0,0,
B6,B6,,,,,,0,0,
B7,clkc0_1,,,,,,0,0,
B8,B8,,,,,,0,0,
B9,B9,input,LVCMOS25,HYSTERESIS=ON,MIB_R0C38,MIB_R0C38_PIOT0_PADDTA_PIO,3,0,
B10,B10,input,LVCMOS25,HYSTERESIS=ON,MIB_R0C44,MIB_R0C44_PIOT0_PADDTA_PIO,3,0,
B11,B11,input,LVCMOS25,HYSTERESIS=ON,MIB_R0C49,MIB_R0C49_PIOT0_JTSDATA0A_SIOLOGIC;MIB_R0C49_PIOT0_PADDOA_PIO,8,0,
B12,B12,input,LVCMOS25,HYSTERESIS=ON,MIB_R0C56,MIB_R0C56_PIOT0_JTSDATA0A_SIOLOGIC;MIB_R0C56_PIOT0_PADDOA_PIO,8,0,
B13,B13,input,LVCMOS25,HYSTERESIS=ON,MIB_R0C60,MIB_R0C60_PIOT0_PADDOA_PIO;MIB_R0C60_PIOT0_PADDTA_PIO,8,0,
B14,B14,input,LVCMOS25,HYSTERESIS=ON,MIB_R0C67,MIB_R0C67_PIOT0_JPADDIB_PIO;MIB_R0C67_PIOT0_JTSDATA0A_SIOLOGIC;MIB_R0C67_PIOT0_JTXDATA0A_SIOLOGIC,8,0,
B15,B15,,,,,,0,0,
B16,B16,,,,,,0,0,
C1,PMOD2+,,,,,,0,0,
C2,PMOD2-,,,,,,0,0,
C3,C3,,,,,,0,0,
C4,C4,unknown,unknown,,MIB_R0C11,MIB_R0C11_PIOT0_JTXDATA0A_SIOLOGIC,3,0,
C5,C5,unknown,unknown,,MIB_R0C15,MIB_R0C15_PIOT0_JPADDIB_PIO;MIB_R0C15_PIOT0_PADDOA_PIO,3,0,
C6,C6,unknown,unknown,,MIB_R0C22,MIB_R0C22_PIOT0_JPADDIB_PIO;MIB_R0C22_PIOT0_JTXDATA0A_SIOLOGIC,3,0,
C7,clkt0_1,unknown,unknown,,MIB_R0C27,,0,0,
C8,CLKT1_0,unknown,unknown,,MIB_R0C35,MIB_R0C35_PIOT0_JTSDATA0B_SIOLOGIC,3,0,
C9,GR_PCLK_1_1,,,,,,0,0,
C10,C10,,,,,,0,0,
C11,C11,,,,,,0,0,
C12,C12,,,,,,0,0,
C13,C13,,,,,,0,0,
C14,C14,,,,,,0,0,
C15,C15,,,,,,0,0,
C16,C16,,,,,,0,0,
D1,D1,,,,,,0,0,
D2,GND,,,,,,0,0,
D3,D3,,,,,,0,0,
D4,D4,,,,,,0,0,
D5,D5,,,,,,0,0,
D6,D6,,,,,,0,0,
D7,clk0_0,,,,,,0,0,
D8,CLKC1_1,,,,,,0,0,
D9,unconnected-(U8C-PT40A{slash}+-PadD9),unknown,unknown,,MIB_R0C40,,0,0,
D10,unconnected-(U8C-PT47A{slash}+-PadD10),unknown,unknown,,MIB_R0C47,,0,0,
D11,D11,unknown,unknown,,MIB_R0C51,,0,0,
D12,D12,unknown,unknown,,MIB_R0C58,,0,0,
D13,D13,unknown,unknown,,MIB_R0C62,,0,0,
D14,D14,,,,,,0,0,
D15,GND,,,,,,0,0,
D16,D16,,,,,,0,0,
E1,E1,,,,,,0,0,
E2,E2,,,,,,0,0,
E3,unconnected-(U8G-PL5C{slash}+{slash}LDQ8-PadE3),,,,,,0,0,
E4,unconnected-(U8B-PT9A{slash}+-PadE4),unknown,unknown,,MIB_R0C9,MIB_R0C9_PIOT0_JTXDATA0B_SIOLOGIC,3,0,
E5,unconnected-(U8B-PT13A{slash}+-PadE5),unknown,unknown,,MIB_R0C13,MIB_R0C13_PIOT0_PADDOB_PIO,3,0,
E6,unconnected-(U8B-PT20A{slash}+-PadE6),unknown,unknown,,MIB_R0C20,MIB_R0C20_PIOT0_JTXDATA0B_SIOLOGIC,3,0,
E7,clk0_1,unknown,unknown,,MIB_R0C24,,0,0,
E8,CLKT1_1,unknown,unknown,,MIB_R0C33,,0,0,
E9,unconnected-(U8C-PT40B{slash}--PadE9),,,,,,0,0,
E10,unconnected-(U8C-PT47B{slash}--PadE10),,,,,,0,0,
E11,unconnected-(U8C-PT51B{slash}--PadE11),,,,,,0,0,
E12,unconnected-(U8C-PT58B{slash}--PadE12),,,,,,0,0,
E13,E13,,,,,,0,0,
E14,E14,,,,,,0,0,
E15,E15,,,,,,0,0,
E16,E16,,,,,,0,0,
F1,unconnected-(U8G-PL14A{slash}+{slash}HS{slash}LDQ20-PadF1),,,,,,0,0,
F2,F2,,,,,,0,0,
F3,unconnected-(U8G-PL5D{slash}-{slash}LDQ8-PadF3),,,,,,0,0,
F4,unconnected-(U8G-PL8C{slash}+{slash}LDQ8-PadF4),,,,,,0,0,
F5,unconnected-(U8G-PL8D{slash}-{slash}LDQ8-PadF5),,,,,,0,0,
F6,+3V3,,,,,,0,0,
F7,+3V3,,,,,,0,0,
F8,GND,,,,,,0,0,
F9,GND,,,,,,0,0,
F10,+3V3,,,,,,0,0,
F11,+3V3,,,,,,0,0,
F12,unconnected-(U8D-PR8D{slash}-{slash}RDQ8-PadF12),,,,,,0,0,
F13,unconnected-(U8D-PR8C{slash}+{slash}RDQ8-PadF13),,,,,,0,0,
F14,unconnected-(U8D-PR5D{slash}-{slash}RDQ8-PadF14),,,,,,0,0,
F15,unconnected-(U8D-PR11C{slash}+{slash}RDQ8-PadF15),,,,,,0,0,
F16,F16,,,,,,0,0,
G1,unconnected-(U8G-PL20A{slash}+{slash}GR_PCLK7_1{slash}HS{slash}LDQS20-PadG1),,,,,,0,0,
G2,unconnected-(U8G-PL14B{slash}-{slash}HS{slash}LDQ20-PadG2),,,,,,0,0,
G3,unconnected-(U8G-PL14C{slash}+{slash}VREF1_7{slash}LDQ20-PadG3),,,,,,0,0,
G4,unconnected-(U8G-PL11B{slash}-{slash}HS{slash}LDQ8-PadG4),,,,,,0,0,
G5,unconnected-(U8G-PL11A{slash}+{slash}HS{slash}LDQ8-PadG5),,,,,,0,0,
G6,+F1V1,,,,,,0,0,
G7,+F1V1,,,,,,0,0,
G8,GND,,,,,,0,0,
G9,+F1V1,,,,,,0,0,
G10,GND,,,,,,0,0,
G11,+F2V5,,,,,,0,0,
G12,unconnected-(U8D-PR11A{slash}+{slash}HS{slash}RDQ8-PadG12),,,,,,0,0,
G13,unconnected-(U8D-PR11B{slash}-{slash}HS{slash}RDQ8-PadG13),,,,,,0,0,
G14,unconnected-(U8D-PR14C{slash}+{slash}VREF1_2{slash}RDQ20-PadG14),,,,,,0,0,
G15,unconnected-(U8D-PR14B{slash}-{slash}HS{slash}RDQ20-PadG15),,,,,,0,0,
G16,unconnected-(U8D-PR20A{slash}+{slash}GR_PCLK2_1{slash}HS{slash}RDQS20-PadG16),,,,,,0,0,
H1,GND,,,,,,0,0,
H2,unconnected-(U8G-PL20B{slash}-{slash}HS{slash}LDQSN20-PadH2),,,,,,0,0,
H3,unconnected-(U8G-PL14D{slash}-{slash}LDQ20-PadH3),,,,,,0,0,
H4,unconnected-(U8G-PL17B{slash}-{slash}HS{slash}LDQ20-PadH4),,,,,,0,0,
H5,unconnected-(U8G-PL17A{slash}+{slash}HS{slash}LDQ20-PadH5),,,,,,0,0,
H6,+3V3,,,,,,0,0,
H7,+3V3,,,,,,0,0,
H8,GND,,,,,,0,0,
H9,GND,,,,,,0,0,
H10,GND,,,,,,0,0,
H11,+3V3,,,,,,0,0,
H12,unconnected-(U8D-PR17A{slash}+{slash}HS{slash}RDQ20-PadH12),,,,,,0,0,
H13,unconnected-(U8D-PR17B{slash}-{slash}HS{slash}RDQ20-PadH13),,,,,,0,0,
H14,unconnected-(U8D-PR14D{slash}-{slash}RDQ20-PadH14),,,,,,0,0,
H15,unconnected-(U8D-PR20B{slash}-{slash}HS{slash}RDQSN20-PadH15),,,,,,0,0,
H16,GND,,,,,,0,0,
J1,unconnected-(U8G-PL23A{slash}+{slash}PCLKT7_1{slash}HS{slash}LDQ20-PadJ1),,,,,,0,0,
J2,unconnected-(U8G-PL23B{slash}-{slash}PCLKC7_1{slash}HS{slash}LDQ20-PadJ2),,,,,,0,0,
J3,unconnected-(U8G-PL20C{slash}+{slash}GR_PCLK7_0{slash}LDQ20-PadJ3),,,,,,0,0,
J4,unconnected-(U8G-PL17C{slash}+{slash}LDQ20-PadJ4),,,,,,0,0,
J5,unconnected-(U8G-PL17D{slash}-{slash}LDQ20-PadJ5),,,,,,0,0,
J6,+3V3,,,,,,0,0,
J7,+3V3,,,,,,0,0,
J8,GND,,,,,,0,0,
J9,GND,,,,,,0,0,
J10,GND,,,,,,0,0,
J11,+3V3,,,,,,0,0,
J12,unconnected-(U8D-PR17D{slash}-{slash}RDQ20-PadJ12),,,,,,0,0,
J13,unconnected-(U8D-PR17C{slash}+{slash}RDQ20-PadJ13),,,,,,0,0,
J14,unconnected-(U8D-PR20C{slash}+{slash}GR_PCLK2_0{slash}RDQ20-PadJ14),,,,,,0,0,
J15,unconnected-(U8D-PR23B{slash}-{slash}PCLKC2_1{slash}HS{slash}RDQ20-PadJ15),,,,,,0,0,
J16,unconnected-(U8D-PR23A{slash}+{slash}PCLKT2_1{slash}HS{slash}RDQ20-PadJ16),,,,,,0,0,
K1,unconnected-(U8G-PL23C{slash}+{slash}PCLKT7_0{slash}LDQ20-PadK1),,,,,,0,0,
K2,unconnected-(U8G-PL23D{slash}-{slash}PCLKC7_0{slash}LDQ20-PadK2),,,,,,0,0,
K3,unconnected-(U8G-PL20D{slash}-{slash}LDQ20-PadK3),,,,,,0,0,
K4,unconnected-(U8F-PL29A{slash}+{slash}GR_PCLK6_0{slash}HS{slash}LDQ32-PadK4),,,,,,0,0,
K5,unconnected-(U8F-PL29B{slash}-{slash}HS{slash}LDQ32-PadK5),,,,,,0,0,
K6,GND,,,,,,0,0,
K7,GND,,,,,,0,0,
K8,GND,,,,,,0,0,
K9,GND,,,,,,0,0,
K10,GND,,,,,,0,0,
K11,+3V3,,,,,,0,0,
K12,unconnected-(U8E-PR29B{slash}-{slash}HS{slash}RDQ32-PadK12),,,,,,0,0,
K13,unconnected-(U8E-PR29A{slash}+{slash}GR_PCLK3_0{slash}HS{slash}RDQ32-PadK13),,,,,,0,0,
K14,unconnected-(U8D-PR20D{slash}-{slash}RDQ20-PadK14),,,,,,0,0,
K15,unconnected-(U8D-PR23D{slash}-{slash}PCLKC2_0{slash}RDQ20-PadK15),,,,,,0,0,
K16,unconnected-(U8D-PR23C{slash}+{slash}PCLKT2_0{slash}RDQ20-PadK16),,,,,,0,0,
L1,unconnected-(U8F-PL26A{slash}+{slash}PCLKT6_1{slash}HS{slash}LDQ32-PadL1),,,,,,0,0,
L2,unconnected-(U8F-PL26B{slash}-{slash}PCLKC6_1{slash}HS{slash}LDQ32-PadL2),,,,,,0,0,
L3,unconnected-(U8F-PL32C{slash}+{slash}LDQ32-PadL3),,,,,,0,0,
L4,unconnected-(U8F-PL29C{slash}+{slash}GR_PCLK6_1{slash}LDQ32-PadL4),,,,,,0,0,
L5,unconnected-(U8F-PL29D{slash}-{slash}LDQ32-PadL5),,,,,,0,0,
L6,+3V3,,,,,,0,0,
L7,+F2V5,,,,,,0,0,
L8,+F1V1,,,,,,0,0,
L9,+F1V1,,,,,,0,0,
L10,+F1V1,,,,,,0,0,
L11,+3V3,,,,,,0,0,
L12,unconnected-(U8E-PR29D{slash}-{slash}RDQ32-PadL12),,,,,,0,0,
L13,unconnected-(U8E-PR29C{slash}+{slash}GR_PCLK3_1{slash}RDQ32-PadL13),,,,,,0,0,
L14,unconnected-(U8E-PR32C{slash}+{slash}RDQ32-PadL14),,,,,,0,0,
L15,unconnected-(U8E-PR26B{slash}-{slash}PCLKC3_1{slash}HS{slash}RDQ32-PadL15),,,,,,0,0,
L16,unconnected-(U8E-PR26A{slash}+{slash}PCLKT3_1{slash}HS{slash}RDQ32-PadL16),,,,,,0,0,
M1,unconnected-(U8F-PL26C{slash}+{slash}PCLKT6_0{slash}LDQ32-PadM1),,,,,,0,0,
M2,unconnected-(U8F-PL26D{slash}-{slash}PCLKC6_0{slash}LDQ32-PadM2),,,,,,0,0,
M3,unconnected-(U8F-PL32D{slash}-{slash}LDQ32-PadM3),,,,,,0,0,
M4,unconnected-(U8F-PL35C{slash}+{slash}LDQ32-PadM4),,,,,,0,0,
M5,unconnected-(U8F-PL44C{slash}+{slash}LDQ44-PadM5),,,,,,0,0,
M6,unconnected-(U8F-PL47A{slash}+{slash}HS{slash}LDQ44-PadM6),,,,,,0,0,
M7,sd_io2,,,,,,0,0,
M8,unconnected-(U8H-PB15B{slash}-{slash}DOUT{slash}CSON-PadM8),,,,,,0,0,
M9,unconnected-(U8H-PB18A{slash}WRITEN-PadM9),,,,,,0,0,
M10,fpga_tdo,,,,,,0,0,
M11,unconnected-(U8E-PR47A{slash}+{slash}HS{slash}RDQ44-PadM11),,,,,,0,0,
M12,unconnected-(U8E-PR44C{slash}+{slash}RDQ44-PadM12),,,,,,0,0,
M13,unconnected-(U8E-PR35C{slash}+{slash}RDQ32-PadM13),,,,,,0,0,
M14,unconnected-(U8E-PR32D{slash}-{slash}RDQ32-PadM14),,,,,,0,0,
M15,unconnected-(U8E-PR26D{slash}-{slash}PCLKC3_0{slash}RDQ32-PadM15),,,,,,0,0,
M16,unconnected-(U8E-PR26C{slash}+{slash}PCLKT3_0{slash}RDQ32-PadM16),,,,,,0,0,
N1,unconnected-(U8F-PL32A{slash}+{slash}HS{slash}LDQS32-PadN1),,,,,,0,0,
N2,GND,,,,,,0,0,
N3,unconnected-(U8F-PL35D{slash}-{slash}LDQ32-PadN3),,,,,,0,0,
N4,unconnected-(U8F-PL38A{slash}+{slash}HS{slash}LDQ44-PadN4),,,,,,0,0,
N5,unconnected-(U8F-PL44D{slash}-{slash}LDQ44-PadN5),,,,,,0,0,
N6,unconnected-(U8F-PL47B{slash}-{slash}HS{slash}LDQ44-PadN6),,,,,,0,0,
N7,sd_io3,,,,,,0,0,
N8,sd_cs,,,,,,0,0,
