package_site,direction,io_type,tile,row,col,pio,clamp,extras
,unknown,unknown,MIB_R0C10,0,10,PIOB,ON,
,input,LVCMOS25,MIB_R0C12,0,12,PIOB,ON,HYSTERESIS=ON
,unknown,unknown,MIB_R0C14,0,14,PIOB,ON,
,input,LVCMOS25,MIB_R0C16,0,16,PIOB,ON,HYSTERESIS=ON
,input,LVCMOS25,MIB_R0C19,0,19,PIOB,ON,HYSTERESIS=ON
,unknown,unknown,MIB_R0C21,0,21,PIOB,ON,
,input,LVCMOS25,MIB_R0C23,0,23,PIOB,ON,HYSTERESIS=ON
,unknown,unknown,MIB_R0C25,0,25,PIOB,OFF,
,unknown,unknown,MIB_R0C28,0,28,PIOB,OFF,
,input,LVCMOS25,MIB_R0C30,0,30,PIOB,ON,HYSTERESIS=ON
,unknown,unknown,MIB_R0C34,0,34,PIOB,OFF,
,input,LVCMOS25,MIB_R0C36,0,36,PIOB,ON,HYSTERESIS=ON
,unknown,unknown,MIB_R0C39,0,39,PIOB,OFF,
,unknown,unknown,MIB_R0C41,0,41,PIOB,OFF,
,input,LVCMOS25,MIB_R0C43,0,43,PIOB,ON,HYSTERESIS=ON
,unknown,unknown,MIB_R0C45,0,45,PIOB,OFF,
,unknown,unknown,MIB_R0C48,0,48,PIOB,OFF,
,unknown,unknown,MIB_R0C5,0,5,PIOB,OFF,
,unknown,unknown,MIB_R0C50,0,50,PIOB,OFF,
,unknown,unknown,MIB_R0C52,0,52,PIOB,OFF,
,input,LVCMOS25,MIB_R0C54,0,54,PIOB,ON,HYSTERESIS=ON
,unknown,unknown,MIB_R0C57,0,57,PIOB,OFF,
,unknown,unknown,MIB_R0C59,0,59,PIOB,OFF,
,unknown,unknown,MIB_R0C61,0,61,PIOB,OFF,
,unknown,unknown,MIB_R0C63,0,63,PIOB,OFF,
,input,LVCMOS25,MIB_R0C66,0,66,PIOB,ON,HYSTERESIS=ON
,input,LVCMOS25,MIB_R0C68,0,68,PIOB,ON,HYSTERESIS=ON
,input,LVCMOS25,MIB_R0C7,0,7,PIOB,ON,HYSTERESIS=ON
,output,SSTL18_II,MIB_R1C10,1,10,PIOB,,
,output,SSTL18_II,MIB_R1C11,1,11,PIOA,,
,output,SSTL18_II,MIB_R1C14,1,14,PIOB,,
,output,SSTL18_II,MIB_R1C15,1,15,PIOA,,
,output,SSTL18_II,MIB_R1C21,1,21,PIOB,,
,output,SSTL18_II,MIB_R1C22,1,22,PIOA,,
,output,SSTL18_II,MIB_R1C30,1,30,PIOB,,
,output,SSTL18_II,MIB_R1C36,1,36,PIOB,,
,output,SSTL18_II,MIB_R1C38,1,38,PIOA,,
,output,SSTL18_II,MIB_R1C42,1,42,PIOA,,
,output,SSTL18_II,MIB_R1C43,1,43,PIOB,,
,output,SSTL18_II,MIB_R1C44,1,44,PIOA,,
,output,SSTL18_II,MIB_R1C49,1,49,PIOA,,
,output,SSTL18_II,MIB_R1C53,1,53,PIOA,,
,output,SSTL18_II,MIB_R1C54,1,54,PIOB,,
,output,SSTL18_II,MIB_R1C56,1,56,PIOA,,
,output,SSTL18_II,MIB_R1C6,1,6,PIOA,,
,output,SSTL18_II,MIB_R1C60,1,60,PIOA,,
,output,SSTL18_II,MIB_R1C65,1,65,PIOA,,
,output,SSTL18_II,MIB_R1C66,1,66,PIOB,,
,output,SSTL18_II,MIB_R1C67,1,67,PIOA,,
,output,SSTL18_II,MIB_R1C68,1,68,PIOB,,
,output,SSTL18_II,MIB_R1C7,1,7,PIOB,,
A11,input,LVCMOS25,MIB_R0C53,0,53,PIOA,ON,HYSTERESIS=ON
A13,input,LVCMOS25,MIB_R0C65,0,65,PIOA,ON,HYSTERESIS=ON
A2,unknown,unknown,MIB_R0C4,0,4,PIOA,OFF,
A3,input,LVCMOS25,MIB_R0C6,0,6,PIOA,ON,HYSTERESIS=ON
A5,input,LVCMOS25,MIB_R0C18,0,18,PIOA,ON,HYSTERESIS=ON
A7,input,LVTTL33,MIB_R0C29,0,29,PIOA,ON,HYSTERESIS=ON
A9,input,LVCMOS25,MIB_R0C42,0,42,PIOA,ON,HYSTERESIS=ON
B10,input,LVCMOS25,MIB_R0C44,0,44,PIOA,ON,HYSTERESIS=ON
B11,input,LVCMOS25,MIB_R0C49,0,49,PIOA,ON,HYSTERESIS=ON
B12,input,LVCMOS25,MIB_R0C56,0,56,PIOA,ON,HYSTERESIS=ON
B13,input,LVCMOS25,MIB_R0C60,0,60,PIOA,ON,HYSTERESIS=ON
B14,input,LVCMOS25,MIB_R0C67,0,67,PIOA,ON,HYSTERESIS=ON
B9,input,LVCMOS25,MIB_R0C38,0,38,PIOA,ON,HYSTERESIS=ON
C4,unknown,unknown,MIB_R0C11,0,11,PIOA,ON,
C5,unknown,unknown,MIB_R0C15,0,15,PIOA,ON,
C6,unknown,unknown,MIB_R0C22,0,22,PIOA,ON,
C7,unknown,unknown,MIB_R0C27,0,27,PIOA,OFF,
C8,unknown,unknown,MIB_R0C35,0,35,PIOA,OFF,
D10,unknown,unknown,MIB_R0C47,0,47,PIOA,OFF,
D11,unknown,unknown,MIB_R0C51,0,51,PIOA,OFF,
D12,unknown,unknown,MIB_R0C58,0,58,PIOA,OFF,
D13,unknown,unknown,MIB_R0C62,0,62,PIOA,OFF,
D9,unknown,unknown,MIB_R0C40,0,40,PIOA,OFF,
E4,unknown,unknown,MIB_R0C9,0,9,PIOA,OFF,
E5,unknown,unknown,MIB_R0C13,0,13,PIOA,OFF,
E6,unknown,unknown,MIB_R0C20,0,20,PIOA,OFF,
E7,unknown,unknown,MIB_R0C24,0,24,PIOA,OFF,
E8,unknown,unknown,MIB_R0C33,0,33,PIOA,OFF,
