fpga_ball,net,other_ref,other_value,other_pad
A1,GND,C6,100n,2
A1,GND,C9,100n,2
A1,GND,SW5,SW_Push,1
A1,GND,SW5,SW_Push,1
A1,GND,SW1,SW_Push,1
A1,GND,SW1,SW_Push,1
A1,GND,SW7,SW_Push,1
A1,GND,SW7,SW_Push,1
A1,GND,C10,100n,2
A1,GND,C7,100n,2
A1,GND,SW4,SW_Push,1
A1,GND,SW4,SW_Push,1
A1,GND,SW6,SW_Push,1
A1,GND,SW6,SW_Push,1
A1,GND,SW3,SW_Push,1
A1,GND,SW3,SW_Push,1
A1,GND,C15,100n,2
A1,GND,SW2,SW_Push,1
A1,GND,SW2,SW_Push,1
A1,GND,C39,100n,2
A1,GND,C27,4.7u,2
A1,GND,BZ1,Buzzer,2
A1,GND,J3,Conn_02x05_Row_Letter_First,3
A1,GND,J3,Conn_02x05_Row_Letter_First,4
A1,GND,C24,4u7,2
A1,GND,R7,470,2
A1,GND,C22,4u7,2
A1,GND,R23,10k,2
A1,GND,J5,USB_C_Receptacle_USB2.0,A1
A1,GND,J5,USB_C_Receptacle_USB2.0,A12
A1,GND,J5,USB_C_Receptacle_USB2.0,B1
A1,GND,J5,USB_C_Receptacle_USB2.0,B12
A1,GND,J5,USB_C_Receptacle_USB2.0,S1
A1,GND,J5,USB_C_Receptacle_USB2.0,S1
A1,GND,J5,USB_C_Receptacle_USB2.0,S1
A1,GND,J5,USB_C_Receptacle_USB2.0,S1
A1,GND,R4,470,2
A1,GND,U5,BQ24075,4
A1,GND,U5,BQ24075,5
A1,GND,U5,BQ24075,8
A1,GND,U5,BQ24075,15
A1,GND,U5,BQ24075,17
A1,GND,R2,470,2
A1,GND,J2,Conn_02x05_Row_Letter_First,3
A1,GND,J2,Conn_02x05_Row_Letter_First,4
A1,GND,C31,22pF,1
A1,GND,Y1,12Mhz,2
A1,GND,Y1,12Mhz,4
A1,GND,C28,4.7u,2
A1,GND,R34,1k,2
A1,GND,R39,10K,2
A1,GND,C8,10u,2
A1,GND,C32,100n,2
A1,GND,Q2,Q_NMOS_GSD,2
A1,GND,C21,1u,2
A1,GND,C36,100n,2
A1,GND,C19,4u7,2
A1,GND,U4,GC9A01_IPS_display,1
A1,GND,U4,GC9A01_IPS_display,5
A1,GND,U4,GC9A01_IPS_display,6
A1,GND,U4,GC9A01_IPS_display,12
A1,GND,C11,10u,2
A1,GND,U2,TLV73311PDBV,2
A1,GND,C1,4.7u,2
A1,GND,C43,100n,2
A1,GND,C40,4.7u,2
A1,GND,R38,10K,1
A1,GND,C37,100n,2
A1,GND,AA-1,TestPoint,1
A1,GND,R5,470,2
A1,GND,R24,47k,2
A1,GND,C18,100n,2
A1,GND,U9,W25Q128JVSIM,4
A1,GND,C12,1u,2
A1,GND,C29,4.7u,2
A1,GND,C17,1u,2
A1,GND,C3,4.7u,2
A1,GND,U1,APS6404L-3SQR-SN_C5333729,4
A1,GND,U3,TLV73325PDBV,2
A1,GND,R35,5k1,2
A1,GND,Q1,2N7002,2
A1,GND,R25,1k5,2
A1,GND,C16,10u,2
A1,GND,R26,2k2,2
A1,GND,U10,AMS1117-3.3,1
A1,GND,R43,10K,2
A1,GND,C23,1u,2
A1,GND,J4,JST PH S2B,2
A1,GND,R11,470,2
A1,GND,C35,100n,2
A1,GND,C5,100n,2
A1,GND,C20,4u7,2
A1,GND,U6,W25Q128JVS,4
A1,GND,C44,100n,2
A1,GND,R14,470,2
A1,GND,C13,1u,2
A1,GND,C38,100n,2
A1,GND,C33,100n,2
A1,GND,C41,100n,2
A1,GND,C26,100n,2
A1,GND,C30,22pF,1
A1,GND,C34,100n,2
A1,GND,J6,Conn_02x05_Row_Letter_First,3
A1,GND,J6,Conn_02x05_Row_Letter_First,4
A1,GND,R36,5k1,2
A1,GND,U7,RP2350_60QFN,47
A1,GND,U7,RP2350_60QFN,61
A1,GND,U7,RP2350_60QFN,61
A1,GND,U7,RP2350_60QFN,61
A1,GND,U7,RP2350_60QFN,61
A1,GND,U7,RP2350_60QFN,61
A1,GND,U7,RP2350_60QFN,61
A1,GND,U7,RP2350_60QFN,61
A1,GND,U7,RP2350_60QFN,61
A1,GND,U7,RP2350_60QFN,61
A1,GND,U7,RP2350_60QFN,61
A1,GND,R15,470,2
A1,GND,X1,SiT2001B,1
A1,GND,SW9,SW_Push,2
A1,GND,SW9,SW_Push,2
A1,GND,C25,1u,2
A1,GND,R12,470,2
A1,GND,C42,100n,2
A1,GND,J1,Conn_02x05_Row_Letter_First,3
A1,GND,J1,Conn_02x05_Row_Letter_First,4
A2,A2,,,
A3,A3,J1,Conn_02x05_Row_Letter_First,11
A4,A4,J1,Conn_02x05_Row_Letter_First,12
A5,A5,SW1,SW_Push,2
A5,A5,SW1,SW_Push,2
A5,A5,R1,10k,2
A6,A6,SW7,SW_Push,2
A6,A6,SW7,SW_Push,2
A6,A6,R13,10k,2
A7,clk,X1,SiT2001B,5
A8,A8,J1,Conn_02x05_Row_Letter_First,9
A9,A9,J1,Conn_02x05_Row_Letter_First,7
A10,A10,J1,Conn_02x05_Row_Letter_First,5
A11,A11,J2,Conn_02x05_Row_Letter_First,11
A12,A12,J2,Conn_02x05_Row_Letter_First,9
A13,A13,J2,Conn_02x05_Row_Letter_First,7
A14,A14,J2,Conn_02x05_Row_Letter_First,5
A15,A15,U7,RP2350_60QFN,12
A16,GND,C6,100n,2
A16,GND,C9,100n,2
A16,GND,SW5,SW_Push,1
A16,GND,SW5,SW_Push,1
A16,GND,SW1,SW_Push,1
A16,GND,SW1,SW_Push,1
A16,GND,SW7,SW_Push,1
A16,GND,SW7,SW_Push,1
A16,GND,C10,100n,2
A16,GND,C7,100n,2
A16,GND,SW4,SW_Push,1
A16,GND,SW4,SW_Push,1
A16,GND,SW6,SW_Push,1
A16,GND,SW6,SW_Push,1
A16,GND,SW3,SW_Push,1
A16,GND,SW3,SW_Push,1
A16,GND,C15,100n,2
A16,GND,SW2,SW_Push,1
A16,GND,SW2,SW_Push,1
A16,GND,C39,100n,2
A16,GND,C27,4.7u,2
A16,GND,BZ1,Buzzer,2
A16,GND,J3,Conn_02x05_Row_Letter_First,3
A16,GND,J3,Conn_02x05_Row_Letter_First,4
A16,GND,C24,4u7,2
A16,GND,R7,470,2
A16,GND,C22,4u7,2
A16,GND,R23,10k,2
A16,GND,J5,USB_C_Receptacle_USB2.0,A1
A16,GND,J5,USB_C_Receptacle_USB2.0,A12
A16,GND,J5,USB_C_Receptacle_USB2.0,B1
A16,GND,J5,USB_C_Receptacle_USB2.0,B12
A16,GND,J5,USB_C_Receptacle_USB2.0,S1
A16,GND,J5,USB_C_Receptacle_USB2.0,S1
A16,GND,J5,USB_C_Receptacle_USB2.0,S1
A16,GND,J5,USB_C_Receptacle_USB2.0,S1
A16,GND,R4,470,2
A16,GND,U5,BQ24075,4
A16,GND,U5,BQ24075,5
A16,GND,U5,BQ24075,8
A16,GND,U5,BQ24075,15
A16,GND,U5,BQ24075,17
A16,GND,R2,470,2
A16,GND,J2,Conn_02x05_Row_Letter_First,3
A16,GND,J2,Conn_02x05_Row_Letter_First,4
A16,GND,C31,22pF,1
A16,GND,Y1,12Mhz,2
A16,GND,Y1,12Mhz,4
A16,GND,C28,4.7u,2
A16,GND,R34,1k,2
A16,GND,R39,10K,2
A16,GND,C8,10u,2
A16,GND,C32,100n,2
A16,GND,Q2,Q_NMOS_GSD,2
A16,GND,C21,1u,2
A16,GND,C36,100n,2
A16,GND,C19,4u7,2
A16,GND,U4,GC9A01_IPS_display,1
A16,GND,U4,GC9A01_IPS_display,5
A16,GND,U4,GC9A01_IPS_display,6
A16,GND,U4,GC9A01_IPS_display,12
A16,GND,C11,10u,2
A16,GND,U2,TLV73311PDBV,2
A16,GND,C1,4.7u,2
A16,GND,C43,100n,2
A16,GND,C40,4.7u,2
A16,GND,R38,10K,1
A16,GND,C37,100n,2
A16,GND,AA-1,TestPoint,1
A16,GND,R5,470,2
A16,GND,R24,47k,2
A16,GND,C18,100n,2
A16,GND,U9,W25Q128JVSIM,4
A16,GND,C12,1u,2
A16,GND,C29,4.7u,2
A16,GND,C17,1u,2
A16,GND,C3,4.7u,2
A16,GND,U1,APS6404L-3SQR-SN_C5333729,4
A16,GND,U3,TLV73325PDBV,2
A16,GND,R35,5k1,2
A16,GND,Q1,2N7002,2
A16,GND,R25,1k5,2
A16,GND,C16,10u,2
A16,GND,R26,2k2,2
A16,GND,U10,AMS1117-3.3,1
A16,GND,R43,10K,2
A16,GND,C23,1u,2
A16,GND,J4,JST PH S2B,2
A16,GND,R11,470,2
A16,GND,C35,100n,2
A16,GND,C5,100n,2
A16,GND,C20,4u7,2
A16,GND,U6,W25Q128JVS,4
A16,GND,C44,100n,2
A16,GND,R14,470,2
A16,GND,C13,1u,2
A16,GND,C38,100n,2
A16,GND,C33,100n,2
A16,GND,C41,100n,2
A16,GND,C26,100n,2
A16,GND,C30,22pF,1
A16,GND,C34,100n,2
A16,GND,J6,Conn_02x05_Row_Letter_First,3
A16,GND,J6,Conn_02x05_Row_Letter_First,4
A16,GND,R36,5k1,2
A16,GND,U7,RP2350_60QFN,47
A16,GND,U7,RP2350_60QFN,61
A16,GND,U7,RP2350_60QFN,61
A16,GND,U7,RP2350_60QFN,61
A16,GND,U7,RP2350_60QFN,61
A16,GND,U7,RP2350_60QFN,61
A16,GND,U7,RP2350_60QFN,61
A16,GND,U7,RP2350_60QFN,61
A16,GND,U7,RP2350_60QFN,61
A16,GND,U7,RP2350_60QFN,61
A16,GND,U7,RP2350_60QFN,61
A16,GND,R15,470,2
A16,GND,X1,SiT2001B,1
A16,GND,SW9,SW_Push,2
A16,GND,SW9,SW_Push,2
A16,GND,C25,1u,2
A16,GND,R12,470,2
A16,GND,C42,100n,2
A16,GND,J1,Conn_02x05_Row_Letter_First,3
A16,GND,J1,Conn_02x05_Row_Letter_First,4
B1,PMOD1+,J6,Conn_02x05_Row_Letter_First,10
B2,PMOD1-,J6,Conn_02x05_Row_Letter_First,12
B3,B3,,,
B4,B4,SW4,SW_Push,2
B4,B4,SW4,SW_Push,2
B4,B4,R8,10k,2
B5,B5,SW5,SW_Push,2
B5,B5,SW5,SW_Push,2
B5,B5,R9,10k,2
B6,B6,SW3,SW_Push,2
B6,B6,SW3,SW_Push,2
B6,B6,R6,10k,2
B7,clkc0_1,,,
B8,B8,J1,Conn_02x05_Row_Letter_First,10
B9,B9,J1,Conn_02x05_Row_Letter_First,8
B10,B10,J1,Conn_02x05_Row_Letter_First,6
B11,B11,J2,Conn_02x05_Row_Letter_First,12
B12,B12,J2,Conn_02x05_Row_Letter_First,10
B13,B13,J2,Conn_02x05_Row_Letter_First,8
B14,B14,J2,Conn_02x05_Row_Letter_First,6
B15,B15,U7,RP2350_60QFN,13
B16,B16,U7,RP2350_60QFN,14
C1,PMOD2+,J6,Conn_02x05_Row_Letter_First,6
C2,PMOD2-,J6,Conn_02x05_Row_Letter_First,8
C3,C3,D1,LED,2
C4,C4,D5,LED,2
C5,C5,D2,LED,2
C6,C6,D6,LED,2
C7,clkt0_1,,,
C8,CLKT1_0,,,
C9,GR_PCLK_1_1,,,
C10,C10,,,
C11,C11,,,
C12,C12,SW6,SW_Push,2
C12,C12,SW6,SW_Push,2
C12,C12,R10,10k,2
C12,C12,U7,RP2350_60QFN,3
C13,C13,U4,GC9A01_IPS_display,10
C13,C13,U7,RP2350_60QFN,5
C14,C14,U4,GC9A01_IPS_display,9
C14,C14,U7,RP2350_60QFN,4
C15,C15,U7,RP2350_60QFN,15
C16,C16,U7,RP2350_60QFN,16
D1,D1,J6,Conn_02x05_Row_Letter_First,11
D2,GND,C6,100n,2
D2,GND,C9,100n,2
D2,GND,SW5,SW_Push,1
D2,GND,SW5,SW_Push,1
D2,GND,SW1,SW_Push,1
D2,GND,SW1,SW_Push,1
D2,GND,SW7,SW_Push,1
D2,GND,SW7,SW_Push,1
D2,GND,C10,100n,2
D2,GND,C7,100n,2
D2,GND,SW4,SW_Push,1
D2,GND,SW4,SW_Push,1
D2,GND,SW6,SW_Push,1
D2,GND,SW6,SW_Push,1
D2,GND,SW3,SW_Push,1
D2,GND,SW3,SW_Push,1
D2,GND,C15,100n,2
D2,GND,SW2,SW_Push,1
D2,GND,SW2,SW_Push,1
D2,GND,C39,100n,2
D2,GND,C27,4.7u,2
D2,GND,BZ1,Buzzer,2
D2,GND,J3,Conn_02x05_Row_Letter_First,3
D2,GND,J3,Conn_02x05_Row_Letter_First,4
D2,GND,C24,4u7,2
D2,GND,R7,470,2
D2,GND,C22,4u7,2
D2,GND,R23,10k,2
D2,GND,J5,USB_C_Receptacle_USB2.0,A1
D2,GND,J5,USB_C_Receptacle_USB2.0,A12
D2,GND,J5,USB_C_Receptacle_USB2.0,B1
D2,GND,J5,USB_C_Receptacle_USB2.0,B12
D2,GND,J5,USB_C_Receptacle_USB2.0,S1
D2,GND,J5,USB_C_Receptacle_USB2.0,S1
D2,GND,J5,USB_C_Receptacle_USB2.0,S1
D2,GND,J5,USB_C_Receptacle_USB2.0,S1
D2,GND,R4,470,2
D2,GND,U5,BQ24075,4
D2,GND,U5,BQ24075,5
D2,GND,U5,BQ24075,8
D2,GND,U5,BQ24075,15
D2,GND,U5,BQ24075,17
D2,GND,R2,470,2
D2,GND,J2,Conn_02x05_Row_Letter_First,3
D2,GND,J2,Conn_02x05_Row_Letter_First,4
D2,GND,C31,22pF,1
D2,GND,Y1,12Mhz,2
D2,GND,Y1,12Mhz,4
D2,GND,C28,4.7u,2
D2,GND,R34,1k,2
D2,GND,R39,10K,2
D2,GND,C8,10u,2
D2,GND,C32,100n,2
D2,GND,Q2,Q_NMOS_GSD,2
D2,GND,C21,1u,2
D2,GND,C36,100n,2
D2,GND,C19,4u7,2
D2,GND,U4,GC9A01_IPS_display,1
D2,GND,U4,GC9A01_IPS_display,5
D2,GND,U4,GC9A01_IPS_display,6
D2,GND,U4,GC9A01_IPS_display,12
D2,GND,C11,10u,2
D2,GND,U2,TLV73311PDBV,2
D2,GND,C1,4.7u,2
D2,GND,C43,100n,2
D2,GND,C40,4.7u,2
D2,GND,R38,10K,1
D2,GND,C37,100n,2
D2,GND,AA-1,TestPoint,1
D2,GND,R5,470,2
D2,GND,R24,47k,2
D2,GND,C18,100n,2
D2,GND,U9,W25Q128JVSIM,4
D2,GND,C12,1u,2
D2,GND,C29,4.7u,2
D2,GND,C17,1u,2
D2,GND,C3,4.7u,2
D2,GND,U1,APS6404L-3SQR-SN_C5333729,4
D2,GND,U3,TLV73325PDBV,2
D2,GND,R35,5k1,2
D2,GND,Q1,2N7002,2
D2,GND,R25,1k5,2
D2,GND,C16,10u,2
D2,GND,R26,2k2,2
D2,GND,U10,AMS1117-3.3,1
D2,GND,R43,10K,2
D2,GND,C23,1u,2
D2,GND,J4,JST PH S2B,2
D2,GND,R11,470,2
D2,GND,C35,100n,2
D2,GND,C5,100n,2
D2,GND,C20,4u7,2
D2,GND,U6,W25Q128JVS,4
D2,GND,C44,100n,2
D2,GND,R14,470,2
D2,GND,C13,1u,2
D2,GND,C38,100n,2
D2,GND,C33,100n,2
D2,GND,C41,100n,2
D2,GND,C26,100n,2
D2,GND,C30,22pF,1
D2,GND,C34,100n,2
D2,GND,J6,Conn_02x05_Row_Letter_First,3
D2,GND,J6,Conn_02x05_Row_Letter_First,4
D2,GND,R36,5k1,2
D2,GND,U7,RP2350_60QFN,47
D2,GND,U7,RP2350_60QFN,61
D2,GND,U7,RP2350_60QFN,61
D2,GND,U7,RP2350_60QFN,61
D2,GND,U7,RP2350_60QFN,61
