annotated_name,direction,package_site,decomp_port,io_type,tile,pio
CIB_R1C24_CIB_JD7,output,,CIB_R1C24_CIB_JD7,,,
CIB_R1C25_CIB_JD7,output,,CIB_R1C25_CIB_JD7,,,
CIB_R1C39_CIB_JD7,output,,CIB_R1C39_CIB_JD7,,,
G_HPBX0000,input,,G_HPBX0000,,,
G_HPBX0100,input,,G_HPBX0100,,,
G_HPBX0200,input,,G_HPBX0200,,,
G_HPBX0300,input,,G_HPBX0300,,,
MIB_R11C72_PICR0_JPADDID_PIO,input,,MIB_R11C72_PICR0_JPADDID_PIO,,,
MIB_R2C0_PICL0_JTXDATA0C_IOLOGIC,output,,MIB_R2C0_PICL0_JTXDATA0C_IOLOGIC,,,
MIB_R2C0_PICL0_JTXDATA4C_IOLOGIC,output,,MIB_R2C0_PICL0_JTXDATA4C_IOLOGIC,,,
MIB_R2C72_PICR0_JDIA,input,,MIB_R2C72_PICR0_JDIA,,,
MIB_R2C72_PICR0_JDIB,input,,MIB_R2C72_PICR0_JDIB,,,
MIB_R2C72_PICR0_JTXDATA0A_IOLOGIC,output,,MIB_R2C72_PICR0_JTXDATA0A_IOLOGIC,,,
MIB_R2C72_PICR0_JTXDATA4A_IOLOGIC,output,,MIB_R2C72_PICR0_JTXDATA4A_IOLOGIC,,,
MIB_R50C15_PICB0_JDIA,input,,MIB_R50C15_PICB0_JDIA,,,
MIB_R5C72_PICR0_JDIA,input,,MIB_R5C72_PICR0_JDIA,,,
MIB_R5C72_PICR0_JDIB,input,,MIB_R5C72_PICR0_JDIB,,,
MIB_R5C72_PICR0_JTXDATA0A_IOLOGIC,output,,MIB_R5C72_PICR0_JTXDATA0A_IOLOGIC,,,
MIB_R5C72_PICR0_PADDOB_PIO,output,,MIB_R5C72_PICR0_PADDOB_PIO,,,
MIB_R8C72_PICR0_DQS2_JDIA,input,,MIB_R8C72_PICR0_DQS2_JDIA,,,
MIB_R8C72_PICR0_DQS2_JDIB,input,,MIB_R8C72_PICR0_DQS2_JDIB,,,
pad_A11_JTSDATA0A_SIOLOGIC,output,A11,MIB_R0C53_PIOT0_JTSDATA0A_SIOLOGIC,LVCMOS25,MIB_R0C53,PIOA
pad_A11_JTXDATA0A_SIOLOGIC,output,A11,MIB_R0C53_PIOT0_JTXDATA0A_SIOLOGIC,LVCMOS25,MIB_R0C53,PIOA
pad_A11_PADDOB_PIO,output,A11,MIB_R0C53_PIOT0_PADDOB_PIO,LVCMOS25,MIB_R0C53,PIOA
pad_A11_PADDTB_PIO,output,A11,MIB_R0C53_PIOT0_PADDTB_PIO,LVCMOS25,MIB_R0C53,PIOA
pad_A13_JTSDATA0A_SIOLOGIC,output,A13,MIB_R0C65_PIOT0_JTSDATA0A_SIOLOGIC,LVCMOS25,MIB_R0C65,PIOA
pad_A13_JTXDATA0A_SIOLOGIC,output,A13,MIB_R0C65_PIOT0_JTXDATA0A_SIOLOGIC,LVCMOS25,MIB_R0C65,PIOA
pad_A13_JTXDATA0B_SIOLOGIC,output,A13,MIB_R0C65_PIOT0_JTXDATA0B_SIOLOGIC,LVCMOS25,MIB_R0C65,PIOA
pad_A13_PADDTB_PIO,output,A13,MIB_R0C65_PIOT0_PADDTB_PIO,LVCMOS25,MIB_R0C65,PIOA
pad_A3_JPADDIA_PIO,input,A3,MIB_R0C6_PIOT0_JPADDIA_PIO,LVCMOS25,MIB_R0C6,PIOA
pad_A3_JTSDATA0B_SIOLOGIC,output,A3,MIB_R0C6_PIOT0_JTSDATA0B_SIOLOGIC,LVCMOS25,MIB_R0C6,PIOA
pad_A3_PADDOA_PIO,output,A3,MIB_R0C6_PIOT0_PADDOA_PIO,LVCMOS25,MIB_R0C6,PIOA
pad_A3_PADDTA_PIO,output,A3,MIB_R0C6_PIOT0_PADDTA_PIO,LVCMOS25,MIB_R0C6,PIOA
