pad,port,annotated,file,units,ffs,inputs,clocks
A11,MIB_R0C53_PIOT0_JTSDATA0A_SIOLOGIC,pad_A11_JTSDATA0A_SIOLOGIC,verilog/pads/pad_A11_JTSDATA0A_SIOLOGIC.v,8,0,3,
A11,MIB_R0C53_PIOT0_JTXDATA0A_SIOLOGIC,pad_A11_JTXDATA0A_SIOLOGIC,verilog/pads/pad_A11_JTXDATA0A_SIOLOGIC.v,3,0,0,
A11,MIB_R0C53_PIOT0_PADDOB_PIO,pad_A11_PADDOB_PIO,verilog/pads/pad_A11_PADDOB_PIO.v,3,0,0,
A11,MIB_R0C53_PIOT0_PADDTB_PIO,pad_A11_PADDTB_PIO,verilog/pads/pad_A11_PADDTB_PIO.v,8,0,3,
A13,MIB_R0C65_PIOT0_JTSDATA0A_SIOLOGIC,pad_A13_JTSDATA0A_SIOLOGIC,verilog/pads/pad_A13_JTSDATA0A_SIOLOGIC.v,8,0,3,
A13,MIB_R0C65_PIOT0_JTXDATA0A_SIOLOGIC,pad_A13_JTXDATA0A_SIOLOGIC,verilog/pads/pad_A13_JTXDATA0A_SIOLOGIC.v,3,0,0,
A13,MIB_R0C65_PIOT0_JTXDATA0B_SIOLOGIC,pad_A13_JTXDATA0B_SIOLOGIC,verilog/pads/pad_A13_JTXDATA0B_SIOLOGIC.v,3,0,0,
A13,MIB_R0C65_PIOT0_PADDTB_PIO,pad_A13_PADDTB_PIO,verilog/pads/pad_A13_PADDTB_PIO.v,8,0,3,
A3,MIB_R0C6_PIOT0_JTSDATA0B_SIOLOGIC,pad_A3_JTSDATA0B_SIOLOGIC,verilog/pads/pad_A3_JTSDATA0B_SIOLOGIC.v,3,0,0,
A3,MIB_R0C6_PIOT0_PADDOA_PIO,pad_A3_PADDOA_PIO,verilog/pads/pad_A3_PADDOA_PIO.v,75,24,5,posedge G_HPBX0300
A3,MIB_R0C6_PIOT0_PADDTA_PIO,pad_A3_PADDTA_PIO,verilog/pads/pad_A3_PADDTA_PIO.v,3,0,0,
A7,MIB_R0C29_PIOT0_JTXDATA0B_SIOLOGIC,pad_A7_JTXDATA0B_SIOLOGIC,verilog/pads/pad_A7_JTXDATA0B_SIOLOGIC.v,76,25,5,posedge G_HPBX0300
A7,MIB_R0C29_PIOT0_PADDTB_PIO,pad_A7_PADDTB_PIO,verilog/pads/pad_A7_PADDTB_PIO.v,3,0,0,
A9,MIB_R0C42_PIOT0_JTXDATA0B_SIOLOGIC,pad_A9_JTXDATA0B_SIOLOGIC,verilog/pads/pad_A9_JTXDATA0B_SIOLOGIC.v,82,27,5,posedge G_HPBX0300
A9,MIB_R0C42_PIOT0_PADDOA_PIO,pad_A9_PADDOA_PIO,verilog/pads/pad_A9_PADDOA_PIO.v,10,2,0,posedge G_HPBX0300
A9,MIB_R0C42_PIOT0_PADDTA_PIO,pad_A9_PADDTA_PIO,verilog/pads/pad_A9_PADDTA_PIO.v,3,0,0,
A9,MIB_R0C42_PIOT0_PADDTB_PIO,pad_A9_PADDTB_PIO,verilog/pads/pad_A9_PADDTB_PIO.v,3,0,0,
B10,MIB_R0C44_PIOT0_PADDTA_PIO,pad_B10_PADDTA_PIO,verilog/pads/pad_B10_PADDTA_PIO.v,3,0,0,
B11,MIB_R0C49_PIOT0_JTSDATA0A_SIOLOGIC,pad_B11_JTSDATA0A_SIOLOGIC,verilog/pads/pad_B11_JTSDATA0A_SIOLOGIC.v,8,0,3,
B11,MIB_R0C49_PIOT0_PADDOA_PIO,pad_B11_PADDOA_PIO,verilog/pads/pad_B11_PADDOA_PIO.v,1,0,0,
B12,MIB_R0C56_PIOT0_JTSDATA0A_SIOLOGIC,pad_B12_JTSDATA0A_SIOLOGIC,verilog/pads/pad_B12_JTSDATA0A_SIOLOGIC.v,8,0,3,
B12,MIB_R0C56_PIOT0_PADDOA_PIO,pad_B12_PADDOA_PIO,verilog/pads/pad_B12_PADDOA_PIO.v,3,0,0,
B13,MIB_R0C60_PIOT0_PADDOA_PIO,pad_B13_PADDOA_PIO,verilog/pads/pad_B13_PADDOA_PIO.v,3,0,0,
B13,MIB_R0C60_PIOT0_PADDTA_PIO,pad_B13_PADDTA_PIO,verilog/pads/pad_B13_PADDTA_PIO.v,8,0,3,
B14,MIB_R0C67_PIOT0_JTSDATA0A_SIOLOGIC,pad_B14_JTSDATA0A_SIOLOGIC,verilog/pads/pad_B14_JTSDATA0A_SIOLOGIC.v,8,0,3,
B14,MIB_R0C67_PIOT0_JTXDATA0A_SIOLOGIC,pad_B14_JTXDATA0A_SIOLOGIC,verilog/pads/pad_B14_JTXDATA0A_SIOLOGIC.v,3,0,0,
B9,MIB_R0C38_PIOT0_PADDTA_PIO,pad_B9_PADDTA_PIO,verilog/pads/pad_B9_PADDTA_PIO.v,3,0,0,
C4,MIB_R0C11_PIOT0_JTXDATA0A_SIOLOGIC,pad_C4_JTXDATA0A_SIOLOGIC,verilog/pads/pad_C4_JTXDATA0A_SIOLOGIC.v,3,0,0,
C5,MIB_R0C15_PIOT0_PADDOA_PIO,pad_C5_PADDOA_PIO,verilog/pads/pad_C5_PADDOA_PIO.v,3,0,0,
C6,MIB_R0C22_PIOT0_JTXDATA0A_SIOLOGIC,pad_C6_JTXDATA0A_SIOLOGIC,verilog/pads/pad_C6_JTXDATA0A_SIOLOGIC.v,3,0,0,
